GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "19000","Iowa",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10374042,11094958,11641612,13040147,15654782,16224999,18133702,19280266,21275256,24537218,26300036,28010088,31683533,32544966,33176068,36915948,38212569,39474436,41225071,42726732,46504223,49020192,50210881,53763230,54005634,58888902,61256400,66724719,69908244,73147507,74998667,80082603,82519741,84518170,86330620,93377873,96079986,101998567,109069046,116112823,112963427,116535730,125499836,131136968,133435138,137733486,142521151,143839853,147911455,154686050,158156265,168097773,186318884,196040112,201755854,211425368
 "19000","Iowa",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3051473,3070048,3082748,3102460,3121790,3136310,3149607,3162752,3171540,3183858,3191141,3198613,3202820,3218414,3241488
 "19000","Iowa",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9017,9612,10895,11268,11557,12914,13504,14139,14899,15434,16785,17627,17948,19076,19036,20657,21363,23168,24180,25198,25705,27341,28145,28804,29344,31615,32411,34197,36366,38490,37246,38190,40879,42539,43009,44120,45442,45669,46767,48773,49674,52676,58250,61209,62688,65225
 "19001","Adair, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30762,33210,33894,40324,54485,47937,53433,61234,58593,75919,74761,71351,88400,88838,83650,99030,105684,116093,115046,114718,131431,135987,132638,146168,134303,156446,145308,174171,176229,183755,188850,210176,211414,218311,215116,247285,227720,236216,250452,290010,273172,269269,305853,308847,323696,326700,333921,321714,341340,364228,370234,403853,491147,507908,517616,572064
 "19001","Adair, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7689,7597,7558,7519,7540,7358,7264,7346,7368,7483,7489,7522,7457,7399,7431
 "19001","Adair, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3331,3519,3654,4263,5697,5148,5747,6562,6254,8049,7832,7519,9408,9596,9083,10827,11828,13344,13456,13482,15589,16195,15734,17316,15832,18669,17369,20826,21207,22126,22758,25560,25998,27089,26722,30837,28709,29810,31820,37435,35588,35020,40260,40864,43050,43329,45382,44289,46466,49434,49477,53926,65295,68112,69958,76983
 "19003","Adams, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19855,21473,22157,24892,35259,28764,33799,39613,35670,44403,44498,43249,53086,55201,52454,55596,61023,67264,69296,63358,72043,73488,73726,78637,71656,84681,77247,97959,97843,101084,104042,119680,113592,118509,112878,134258,123386,116672,127307,153209,148873,149857,188544,186988,217383,223511,243037,220764,210848,210662,202449,196824,236856,240107,229983,230031
 "19003","Adams, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6122,6309,6280,6280,6078,5975,5919,5821,5912,5938,5847,5713,5631,5556,5494,5423,5307,5199,5217,5095,4987,4845,4748,4687,4634,4616,4578,4534,4503,4493,4498,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4026,4007,3934,3926,3920,3809,3758,3734,3718,3703,3710,3641,3602,3553,3606
 "19003","Adams, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3243,3404,3528,3964,5801,4814,5710,6805,6033,7478,7610,7570,9427,9935,9548,10252,11499,12938,13283,12435,14446,15168,15528,16778,15463,18345,16874,21605,21728,22498,23131,26738,25805,27119,25860,31172,29197,27621,30347,36909,36786,37222,47054,47531,55370,57018,63806,58745,56467,56660,54672,53052,65052,66659,64729,63791
 "19005","Allamakee, IA",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45763,49126,50926,56484,71175,70859,82470,98980,100868,111602,110902,108877,129122,132720,129227,163087,163382,173270,182895,179705,200894,211029,207656,226988,224069,243373,251739,280015,289130,306961,309704,330190,338996,348114,355247,383189,398089,413647,437232,460818,450250,496506,539268,545641,572507,589452,583744,590379,611775,638226,651019,687079,748370,787327,787185,832677
