GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "28000","Mississippi",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636703,18102701,20328860,21461818,22457971,24513876,25814984,26776347,28256068,30286055,32710737,34436460,36310810,39042558,41568620,44969477,47565152,50455345,53370558,56581064,58494432,61604859,65064052,66326193,69011943,73054919,77634967,80835682,86186957,90602512,89414013,92714361,96643444,99732847,101472085,103442732,104772168,106355488,109132813,111917844,116213493,125624891,138640168,138223679,146160930,153256416
 "28000","Mississippi",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970367,2977902,2982356,2986599,2987656,2985000,2984364,2983448,2974657,2969008,2958536,2947209,2941939,2943172,2943045
 "28000","Mississippi",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6634,7168,8007,8394,8746,9509,9974,10324,10916,11737,12707,13353,13973,14881,15656,16724,17470,18360,19219,20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34623,35100,35638,36579,37624,39142,42462,47041,46984,49661,52074
 "28001","Adams, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",100677,103294,115092,125980,141559,160546,174202,194090,217321,243208,276856,311121,351487,367189,388156,411289,411971,401198,405773,411004,442175,468222,479283,519861,548752,575645,602737,640309,661748,694369,714642,738477,749824,778296,754362,764170,810271,887004,912027,989759,926727,954420,999689,1039197,1053326,1069110,1013908,998156,1007263,1043024,1077870,1163545,1333840,1250473,1337946,1394704
 "28001","Adams, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37491,37395,38068,37851,37394,37668,38395,37985,37859,37874,37714,38209,38696,39172,38841,39006,38826,37694,36542,35794,35768,35294,35390,34899,35013,35151,34976,35105,35242,34969,34591,34246,33945,33730,33482,32785,32674,33220,32889,32629,32305,32558,32323,32004,31832,31696,31098,31038,30996,30501,29898,29427,28504,28558,28854,28674
 "28001","Adams, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2685,2762,3023,3328,3786,4262,4537,5110,5740,6422,7341,8143,9083,9374,9993,10544,10611,10644,11104,11482,12362,13266,13543,14896,15673,16376,17233,18240,18777,19857,20660,21564,22089,23074,22530,23309,24799,26701,27730,30334,28687,29314,30928,32471,33090,33730,32604,32159,32497,34196,36052,39540,46795,43787,46370,48640
 "28003","Alcorn, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",67072,74168,82402,94605,108135,117716,127735,146084,167414,193275,223871,241594,269579,277054,286808,307123,322322,344522,354248,375939,397977,423914,446678,490699,516020,542128,564009,579634,613900,638344,654141,692573,725958,730935,744879,795749,824106,860649,900191,956484,972830,1024948,1083445,1132548,1148649,1169578,1204389,1219190,1269657,1322156,1348559,1449001,1537196,1528650,1631740,1668314
 "28003","Alcorn, MS",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",27126,27254,27927,28256,28814,29167,29541,29655,30643,31705,32420,33041,32999,32661,32628,32780,32405,32560,32155,32046,31723,31791,32369,32938,33115,33258,33456,33454,33808,33913,34320,34600,34746,34946,35045,35448,35688,36183,36608,36793,36868,37053,37012,36720,36572,36325,36127,35867,35593,35031,34973,34732,34344,34094,34046,34228
 "28003","Alcorn, MS",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2473,2721,2951,3348,3753,4036,4324,4926,5463,6096,6905,7312,8169,8483,8790,9369,9947,10581,11017,11731,12545,13334,13800,14898,15583,16301,16858,17326,18158,18823,19060,20017,20893,20916,21255,22448,23092,23786,24590,25996,26387,27662,29273,30843,31408,32198,33338,33992,35672,37742,38560,41719,44759,44836,47928,48741
 "28005","Amite, MS",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25754,27492,30134,33947,40622,42796,42836,49416,52017,58748,68822,72788,81457,85480,91224,97112,100684,101507,102045,109978,119120,126929,136348,145639,154986,165526,178588,192732,203744,221368,226436,242587,255650,255231,260571,278376,292565,303268,319667,343643,333594,339838,344835,354525,370428,384209,385914,388919,418597,428923,424446,448715,491238,494584,527006,563393
