GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8362745,9393441,10455116,11258544,12185542,13361043,14402385,15441352,16481698,18222995,19829194,20430364,20648278,21572585,22483684,23050675,24278996,25113199,26554301,28349718,29581071,31875284,33611758,34965677,36700205,38541514,39241318,41162032,42935212,43768605,42764925,44973874,46685369,48186451,48187015,50045148,51775192,52514454,54704265,56918930,60336968,64996795,69245544,70880136,74777841,78553730
 "44000","Rhode Island",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1054975,1058746,1063756,1068358,1073245,1077555,1082431,1085105,1091824,1094580,1096530,1097246,1099498,1103429,1112308
 "44000","Rhode Island",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9901,10971,11799,12741,13890,14864,15799,16655,18289,19816,20309,20431,21305,22149,22689,23873,24599,25898,27493,28432,30350,31795,32801,34256,35867,36746,38719,40608,41487,40588,42630,44095,45298,45104,46630,48049,48515,50414,52132,55123,59275,63108,64466,67769,70622
 "44001","Bristol, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",203937,215661,229064,244765,262957,277149,299661,331671,365794,399351,446751,501475,562973,612342,665046,740362,794624,848774,902266,1026493,1136236,1151854,1161640,1239841,1294571,1343492,1467071,1527316,1585535,1698702,1839600,1979751,2119918,2196075,2304758,2466548,2515856,2709581,2871441,2910164,2752731,3015250,3033561,3206380,3133706,3218767,3387825,3495301,3638518,3699399,3908955,4082797,4349722,4457527,4740356,5010631
 "44001","Bristol, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",44870,45880,46264,46702,46849,46692,46707,47176,47761,47734,46845,46827,46258,46487,47279,47374,47630,48201,48456,49269,48866,48915,49130,49310,49604,49656,49750,49868,50028,50328,50466,50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49876,49532,49811,50032,50101,50397,50340,50497,50641,50707,50783,50778,50388,50358,50145
 "44001","Bristol, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4545,4701,4951,5241,5613,5936,6416,7031,7659,8366,9537,10709,12170,13172,14066,15628,16683,17609,18620,20834,23252,23548,23644,25144,26098,27056,29489,30627,31693,33753,36452,39051,41614,42354,44616,47240,48694,53133,56398,57436,54972,60455,61244,64371,62634,64246,67223,69434,72054,73051,77089,80397,85662,88464,94133,99923
 "44003","Kent, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",566542,609950,650015,717213,785179,844190,936525,1030148,1132012,1245347,1407586,1613618,1786203,1907338,2056494,2245081,2385816,2568402,2764770,3046024,3293233,3401943,3455349,3616041,3783597,3887596,4093990,4261703,4489504,4740978,4992971,5325610,5656532,5936247,6268073,6572583,6677046,6970749,7230041,7428117,7322930,7483720,7891079,8146945,8180085,8486840,8803745,8864675,9303827,9555770,10058368,10761766,11325123,11718081,12408033,12955417
 "44003","Kent, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",138921,142590,144814,147335,149030,149482,149975,151903,154484,154250,154280,154219,154084,153908,153901,154905,156019,157306,159908,160284,160283,161463,162230,163076,163967,164223,164106,164373,164505,164932,166044,167516,168516,169478,170641,170539,169815,168522,167515,167269,166766,166171,166000,165929,166242,166952,166797,167410,167796,168939,169512,170423,171115,171523,171770,172450
 "44003","Kent, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4078,4278,4489,4868,5269,5647,6245,6782,7328,8074,9124,10463,11592,12393,13362,14493,15292,16327,17290,19004,20546,21069,21299,22174,23075,23673,24947,25927,27291,28745,30070,31792,33567,35027,36733,38540,39320,41364,43161,44408,43911,45036,47537,49099,49206,50834,52781,52952,55447,56563,59337,63147,66184,68318,72236,75126
 "44005","Newport, RI",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",416524,479004,505180,545234,535659,482963,504086,554621,618699,686855,776676,896390,1045776,1151991,1231919,1369047,1504091,1621805,1709233,1856951,1966860,1951799,1970802,2064841,2152669,2200466,2349701,2437098,2566664,2771042,2945874,3175449,3261951,3373131,3562108,3787389,3817440,4063548,4075628,4144465,4008835,4109405,4437449,4689051,4693779,4845281,4978544,5108006,5425862,5630997,6166146,6576470,6996892,7249076,7455435,7932236
