outcome,donor,weight
firearm_suicide_rate,GA,0.3947330601777205
firearm_suicide_rate,OK,0.4057898642342192
firearm_suicide_rate,UT,0.19947707558651812
homicide_rate,ID,0.2337338964104737
homicide_rate,MN,0.11495119468153091
homicide_rate,MT,0.16925559661989628
homicide_rate,NH,0.4280762573004477
homicide_rate,SD,0.05398305498701578
motor_vehicle_theft_rate,AK,0.007034895356862461
motor_vehicle_theft_rate,AL,0.016494156398389633
motor_vehicle_theft_rate,AR,0.03439146726080816
motor_vehicle_theft_rate,AZ,0.0014032578563804175
motor_vehicle_theft_rate,GA,0.0035722382753619617
motor_vehicle_theft_rate,ID,0.11615502054008135
motor_vehicle_theft_rate,IL,0.002187963195595624
motor_vehicle_theft_rate,IN,0.0057817394930485076
motor_vehicle_theft_rate,KS,0.008944868629948833
motor_vehicle_theft_rate,KY,0.021564426920272457
motor_vehicle_theft_rate,LA,0.010603537847396165
motor_vehicle_theft_rate,ME,0.024971154028115537
motor_vehicle_theft_rate,MI,0.031137798104949974
motor_vehicle_theft_rate,MN,0.003970517161415989
motor_vehicle_theft_rate,MS,0.04505721016710578
motor_vehicle_theft_rate,MT,0.04152413788551108
motor_vehicle_theft_rate,NC,0.0835714726644743
motor_vehicle_theft_rate,ND,0.09030257764436878
motor_vehicle_theft_rate,NH,0.053232364375498345
motor_vehicle_theft_rate,NM,0.040955368204053495
motor_vehicle_theft_rate,NV,0.016196991173156573
motor_vehicle_theft_rate,OK,0.017023163675785453
motor_vehicle_theft_rate,OR,0.019693335150609358
motor_vehicle_theft_rate,PA,0.027979095303947273
motor_vehicle_theft_rate,SD,0.07204749468507192
motor_vehicle_theft_rate,TN,0.026310033896161277
motor_vehicle_theft_rate,TX,0.04044506707210233
motor_vehicle_theft_rate,UT,0.12117862526063557
motor_vehicle_theft_rate,VA,0.0011462196821196231
motor_vehicle_theft_rate,WI,0.015123802090772034
